Model,location,horizon,reference_date,target_end_date,wis,baseline,wis_baseline,wis_ratio
CEPH-Rtrend_fluH,34,0,2024-02-24,2024-02-24,43.060869565217395,FluSight-baseline,51.5077695652174,0.8360072650922143
CEPH-Rtrend_fluH,35,0,2024-02-24,2024-02-24,4.783478260869566,FluSight-baseline,8.146323913043478,0.5871947042531054
CEPH-Rtrend_fluH,36,0,2024-02-24,2024-02-24,28.120869565217394,FluSight-baseline,10.269552173913045,2.7382761282084607
CEPH-Rtrend_fluH,37,0,2024-02-24,2024-02-24,9.84223695652174,FluSight-baseline,12.381406521739134,0.7949207498551034
CEPH-Rtrend_fluH,38,0,2024-02-24,2024-02-24,2.480000000000001,FluSight-baseline,1.7700608695652176,1.4010817608827015
CEPH-Rtrend_fluH,39,0,2024-02-24,2024-02-24,95.91440217391305,FluSight-baseline,63.36095652173915,1.5137776864369907
CEPH-Rtrend_fluH,40,0,2024-02-24,2024-02-24,82.04479130434784,FluSight-baseline,172.37046086956525,0.4759794160232135
CEPH-Rtrend_fluH,41,0,2024-02-24,2024-02-24,29.920869565217394,FluSight-baseline,16.888660869565218,1.7716543541434542
CEPH-Rtrend_fluH,42,0,2024-02-24,2024-02-24,19.910434782608696,FluSight-baseline,8.250934782608699,2.413112611746231
CEPH-Rtrend_fluH,44,0,2024-02-24,2024-02-24,3.1030521739130434,FluSight-baseline,2.5393391304347825,1.2219920280524887
CEPH-Rtrend_fluH,45,0,2024-02-24,2024-02-24,6.643478260869569,FluSight-baseline,12.010256521739134,0.5531504051428509
CEPH-Rtrend_fluH,46,0,2024-02-24,2024-02-24,7.90304347826087,FluSight-baseline,11.081160869565219,0.7131963493073046
CEPH-Rtrend_fluH,47,0,2024-02-24,2024-02-24,16.350434782608698,FluSight-baseline,5.684947826086958,2.8760923200702386
CEPH-Rtrend_fluH,48,0,2024-02-24,2024-02-24,295.783097826087,FluSight-baseline,64.39297391304348,4.593406389733042
CEPH-Rtrend_fluH,49,0,2024-02-24,2024-02-24,3.3021739130434784,FluSight-baseline,6.4170239130434785,0.5145958559280663
CEPH-Rtrend_fluH,50,0,2024-02-24,2024-02-24,3.1304434782608728,FluSight-baseline,3.314626086956522,0.9444333677875669
CEPH-Rtrend_fluH,51,0,2024-02-24,2024-02-24,13.786956521739132,FluSight-baseline,5.88263043478261,2.343672048514233
CEPH-Rtrend_fluH,53,0,2024-02-24,2024-02-24,15.80108695652174,FluSight-baseline,16.818371739130438,0.9395134797596467
CEPH-Rtrend_fluH,54,0,2024-02-24,2024-02-24,27.45826956521739,FluSight-baseline,14.03506086956522,1.9564054492104241
CEPH-Rtrend_fluH,55,0,2024-02-24,2024-02-24,9.70044347826087,FluSight-baseline,7.643104347826087,1.2691758527436496
CEPH-Rtrend_fluH,56,0,2024-02-24,2024-02-24,6.336086956521739,FluSight-baseline,12.297669565217392,0.5152266389107303
CEPH-Rtrend_fluH,72,0,2024-02-24,2024-02-24,3.7218021739130434,FluSight-baseline,3.1020652173913037,1.199782052629735
CEPH-Rtrend_fluH,US,0,2024-02-24,2024-02-24,740.5283826086958,FluSight-baseline,182.39313478260866,4.060067192174307
CEPH-Rtrend_fluH,01,0,2024-03-02,2024-03-02,8.564782608695651,FluSight-baseline,4.7941826086956505,1.7864948642467053
CEPH-Rtrend_fluH,02,0,2024-03-02,2024-03-02,2.0660869565217395,FluSight-baseline,0.8578521739130432,2.4084417098314304
CEPH-Rtrend_fluH,04,0,2024-03-02,2024-03-02,21.37782608695652,FluSight-baseline,7.903200000000001,2.704958255764313
CEPH-Rtrend_fluH,05,0,2024-03-02,2024-03-02,17.62348695652174,FluSight-baseline,5.5751043478260875,3.161104412941384
CEPH-Rtrend_fluH,06,0,2024-03-02,2024-03-02,26.66222826086956,FluSight-baseline,13.88946304347826,1.9196010801431738
CEPH-Rtrend_fluH,08,0,2024-03-02,2024-03-02,4.801304347826087,FluSight-baseline,21.48303913043478,0.2234927897619538
CEPH-Rtrend_fluH,09,0,2024-03-02,2024-03-02,34.42697391304348,FluSight-baseline,28.17865652173914,1.2217393645606887
CEPH-Rtrend_fluH,10,0,2024-03-02,2024-03-02,17.50826086956522,FluSight-baseline,10.756139130434784,1.6277458535307643
CEPH-Rtrend_fluH,11,0,2024-03-02,2024-03-02,1.9791304347826089,FluSight-baseline,1.8325,1.0800166083397593
CEPH-Rtrend_fluH,12,0,2024-03-02,2024-03-02,41.15521739130435,FluSight-baseline,36.57870434782609,1.1251141374489455
CEPH-Rtrend_fluH,13,0,2024-03-02,2024-03-02,66.45131304347824,FluSight-baseline,22.27269130434782,2.983533158855678
CEPH-Rtrend_fluH,15,0,2024-03-02,2024-03-02,7.157400000000001,FluSight-baseline,6.860706521739133,1.0432453242710138
CEPH-Rtrend_fluH,16,0,2024-03-02,2024-03-02,38.208260869565216,FluSight-baseline,29.314478260869564,1.3033921507846693
CEPH-Rtrend_fluH,17,0,2024-03-02,2024-03-02,78.52739130434782,FluSight-baseline,44.20634347826087,1.7763828700956648
CEPH-Rtrend_fluH,18,0,2024-03-02,2024-03-02,31.607608695652196,FluSight-baseline,4.231673913043481,7.469292139506929
CEPH-Rtrend_fluH,19,0,2024-03-02,2024-03-02,71.29701086956523,FluSight-baseline,63.23842173913049,1.127431850903519
CEPH-Rtrend_fluH,20,0,2024-03-02,2024-03-02,10.25,FluSight-baseline,2.7689391304347803,3.701778738050677
CEPH-Rtrend_fluH,21,0,2024-03-02,2024-03-02,18.012608695652176,FluSight-baseline,4.465626086956521,4.033613281744418
CEPH-Rtrend_fluH,22,0,2024-03-02,2024-03-02,6.883913043478262,FluSight-baseline,2.904143478260868,2.3703763588156668
CEPH-Rtrend_fluH,23,0,2024-03-02,2024-03-02,3.864782608695653,FluSight-baseline,5.83244347826087,0.6626352442335304
CEPH-Rtrend_fluH,24,0,2024-03-02,2024-03-02,68.81173913043479,FluSight-baseline,51.01982608695653,1.3487254741549746
CEPH-Rtrend_fluH,25,0,2024-03-02,2024-03-02,344.01260869565215,FluSight-baseline,217.02372608695666,1.585138246856078
CEPH-Rtrend_fluH,26,0,2024-03-02,2024-03-02,63.264347826086976,FluSight-baseline,40.80241304347826,1.5505050585776314
CEPH-Rtrend_fluH,27,0,2024-03-02,2024-03-02,17.356521739130436,FluSight-baseline,8.328830434782606,2.083908644201311
CEPH-Rtrend_fluH,28,0,2024-03-02,2024-03-02,16.16217391304348,FluSight-baseline,9.01601304347826,1.792607645430859
CEPH-Rtrend_fluH,29,0,2024-03-02,2024-03-02,16.490543478260868,FluSight-baseline,13.682173913043473,1.2052575550541806
CEPH-Rtrend_fluH,30,0,2024-03-02,2024-03-02,6.859565217391305,FluSight-baseline,2.625202173913046,2.6129664547575193
CEPH-Rtrend_fluH,31,0,2024-03-02,2024-03-02,20.369565217391305,FluSight-baseline,19.53499565217392,1.0427217686697827
CEPH-Rtrend_fluH,32,0,2024-03-02,2024-03-02,12.338695652173914,FluSight-baseline,6.707343478260868,1.8395801097952995
CEPH-Rtrend_fluH,33,0,2024-03-02,2024-03-02,6.971304347826087,FluSight-baseline,3.7512086956521737,1.8584154904274333
CEPH-Rtrend_fluH,34,0,2024-03-02,2024-03-02,102.03695652173914,FluSight-baseline,45.28031739130434,2.25345055866005
CEPH-Rtrend_fluH,35,0,2024-03-02,2024-03-02,8.38,FluSight-baseline,2.4445891304347813,3.4279789170581725
CEPH-Rtrend_fluH,36,0,2024-03-02,2024-03-02,27.186095652173915,FluSight-baseline,17.427230434782608,1.559977975497117
CEPH-Rtrend_fluH,37,0,2024-03-02,2024-03-02,18.701358695652175,FluSight-baseline,10.000028260869566,1.8701305844135656
CEPH-Rtrend_fluH,38,0,2024-03-02,2024-03-02,2.6100000000000008,FluSight-baseline,5.211330434782609,0.5008317996072105
CEPH-Rtrend_fluH,39,0,2024-03-02,2024-03-02,34.02413043478261,FluSight-baseline,6.590782608695653,5.162380927250179
CEPH-Rtrend_fluH,40,0,2024-03-02,2024-03-02,71.02521739130434,FluSight-baseline,11.348591304347826,6.258505173597489
CEPH-Rtrend_fluH,41,0,2024-03-02,2024-03-02,4.084347826086956,FluSight-baseline,4.911599999999998,0.8315717538250179
CEPH-Rtrend_fluH,42,0,2024-03-02,2024-03-02,69.08891304347833,FluSight-baseline,38.874717391304344,1.7772196862049066
CEPH-Rtrend_fluH,44,0,2024-03-02,2024-03-02,3.3926086956521746,FluSight-baseline,5.473443478260869,0.6198307718215703
CEPH-Rtrend_fluH,45,0,2024-03-02,2024-03-02,12.314347826086957,FluSight-baseline,3.2320043478260865,3.8101272463850004
CEPH-Rtrend_fluH,46,0,2024-03-02,2024-03-02,5.462617391304349,FluSight-baseline,1.132143478260869,4.825022178015542
CEPH-Rtrend_fluH,47,0,2024-03-02,2024-03-02,22.63913043478261,FluSight-baseline,13.533495652173913,1.6728220865202732
CEPH-Rtrend_fluH,48,0,2024-03-02,2024-03-02,374.0060869565217,FluSight-baseline,131.50754782608695,2.8439895134470046
CEPH-Rtrend_fluH,49,0,2024-03-02,2024-03-02,4.65391304347826,FluSight-baseline,1.8248891304347823,2.5502442673706205
CEPH-Rtrend_fluH,50,0,2024-03-02,2024-03-02,5.862663043478241,FluSight-baseline,3.3357869565217384,1.7575052363629673
CEPH-Rtrend_fluH,51,0,2024-03-02,2024-03-02,16.838695652173918,FluSight-baseline,8.709108695652175,1.9334579737855673
CEPH-Rtrend_fluH,53,0,2024-03-02,2024-03-02,9.793478260869547,FluSight-baseline,7.9725086956521745,1.2284060933305023
