location,reference_date,decrease,increase,stable
23,2024-04-13,0.039,0.0,0.961
23,2024-04-20,0.003,0.0,0.997
23,2024-04-27,0.005,0.0,0.995
23,2024-05-04,0.001,0.0,0.999
23,2024-11-30,0.0,0.0436643835616438,0.9563356164383562
23,2024-12-07,0.0,0.0328849028400597,0.9671150971599404
23,2024-12-14,0.0,0.0407149950347567,0.9592850049652432
23,2024-12-21,0.0,0.0,1.0
23,2024-12-28,0.0,0.0,1.0
23,2025-01-04,0.0897959183673469,0.1020408163265306,0.8081632653061225
23,2025-01-11,0.1164021164021163,0.46560846560846547,0.4179894179894179
23,2025-01-18,0.208911307271963,0.4157208911307272,0.3753678015973098
23,2025-02-01,0.2372448979591836,0.1734693877551019,0.5892857142857143
23,2025-02-08,0.5043885313048566,0.2100643651258045,0.2855471035693387
23,2025-02-15,0.5030359645025688,0.2447454460532461,0.2522185894441849
23,2025-02-22,0.9756427604871448,0.0040595399188092,0.020297699594046
23,2025-03-01,0.997022198159177,0.0005414185165132,0.0024363833243096
23,2025-03-08,0.9931603773584905,0.0004716981132075,0.0063679245283018
23,2025-03-22,0.8731988472622478,0.0057636887608069,0.1210374639769452
24,2023-10-14,0.0,0.0192307692307692,0.9807692307692308
24,2023-10-21,0.0,0.0,1.0
24,2023-10-28,0.0,0.0,1.0
24,2023-11-04,0.0,0.0,1.0
24,2023-11-11,0.0,0.0,1.0
24,2023-11-18,0.0,0.0,1.0
24,2023-11-25,0.0,0.0,1.0
24,2023-12-02,0.0,0.0,1.0
24,2023-12-09,0.0,0.0031225604996096,0.9968774395003904
24,2023-12-16,0.0,0.27608473108118736,0.7239152689188125
24,2023-12-23,0.0,0.4687990238800766,0.5312009761199233
24,2023-12-30,0.0,0.5999300943725969,0.400069905627403
24,2024-01-06,0.0,0.8614514608859566,0.1385485391140433
24,2024-01-13,0.0003141690229343,0.6060320452403392,0.3936537857367264
24,2024-01-20,0.0079817559863169,0.0285062713797035,0.9635119726339796
24,2024-01-27,0.0782100860232025,0.11964327993054999,0.8021466340462473
24,2024-02-03,0.1685744630634883,0.102666981354732,0.7287585555817796
24,2024-02-10,0.0,0.0,1.0
24,2024-02-17,0.0,0.0,1.0
24,2024-02-24,0.0579591836734693,0.0,0.9420408163265306
24,2024-03-02,0.019927536231884,0.0,0.980072463768116
24,2024-03-09,0.462,0.0,0.538
24,2024-03-16,0.042,0.0,0.958
24,2024-03-23,0.071,0.009,0.92
24,2024-03-30,0.0,0.0,1.0
24,2024-04-06,0.0,0.0,1.0
24,2024-04-13,0.024,0.0,0.976
24,2024-04-20,0.0,0.0,1.0
24,2024-04-27,0.0,0.0,1.0
24,2024-05-04,0.0,0.0,1.0
24,2024-11-30,0.0,0.1579481970543423,0.8420518029456577
24,2024-12-07,0.0,0.0986525505293551,0.9013474494706448
24,2024-12-14,0.0014049877063575,0.1534949069195644,0.845100105374078
24,2024-12-21,0.008983258472846,0.6766026949775419,0.3144140465496121
24,2024-12-28,0.0118460019743336,0.6426456071076012,0.3455083909180652
24,2025-01-04,0.0,0.9333333333333333,0.0666666666666666
24,2025-01-11,0.0,0.9601063829787233,0.0398936170212766
24,2025-01-18,0.0916351408154686,0.7238335435056746,0.1845313156788566
24,2025-02-01,0.2407108239095314,0.4999999999999999,0.2592891760904685
24,2025-02-08,0.718338399189463,0.1529888551165146,0.1286727456940223
24,2025-02-15,0.7546374367622259,0.1500843170320404,0.0952782462057335
24,2025-02-22,0.9936708860759492,0.0015822784810126,0.0047468354430379
24,2025-03-01,0.9602577873254564,0.0107411385606874,0.029001074113856
24,2025-03-08,0.7961672473867596,0.0505226480836236,0.1533101045296167
24,2025-03-15,0.8953020134228188,0.0120805369127516,0.0926174496644295
24,2025-03-22,0.9535714285714284,0.0011904761904761,0.0452380952380952
25,2023-10-14,0.0,0.0588235294117647,0.9411764705882352
25,2023-10-21,0.0,0.0,1.0
25,2023-10-28,0.0,0.0,1.0
25,2023-11-04,0.0,0.0,1.0
25,2023-11-11,0.0,0.0,1.0
25,2023-11-18,0.0,0.0,1.0
25,2023-11-25,0.0,0.0,1.0
25,2023-12-02,0.0,0.0,1.0
25,2023-12-09,0.0,0.0265914585012087,0.9734085414987912
25,2023-12-23,0.0015809582363532,0.5389091388169162,0.4595099029467305
25,2023-12-30,0.0,0.5479902132121635,0.4520097867878364
25,2024-01-06,0.000942507068803,0.7778825007854225,0.2211749921457744
25,2024-01-13,0.101162425384857,0.4492617027961042,0.4495758718190386
25,2024-01-20,0.4199424736337487,0.0028763183125599,0.5771812080536913
25,2024-01-27,0.5720749838396897,0.0813671622495151,0.3465578539107951
25,2024-02-03,0.4929163325314087,0.025394279604383802,0.4816893878642074
25,2024-02-10,0.9208955223880597,0.0,0.0791044776119403
25,2024-02-17,0.9847494553376905,0.0,0.0152505446623093
25,2024-02-24,1.0,0.0,0.0
25,2024-03-02,0.7951219512195122,0.0,0.2048780487804878
25,2024-03-09,1.0,0.0,0.0
25,2024-03-16,0.874,0.0,0.126
25,2024-03-23,0.9909999999999999,0.0,0.009
25,2024-03-30,0.176,0.0,0.824
25,2024-04-06,0.419,0.0,0.581
25,2024-04-13,0.651,0.0,0.349
25,2024-04-20,0.422,0.0,0.578
25,2024-04-27,0.057,0.0,0.943
25,2024-05-04,0.0,0.0,1.0
